OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
738,00701640100000,2530,CAPITOL,AVE,Landmark, ,3911,3469.547852,243.6932791
739,00701650080000,1216,27TH,ST,Landmark, ,3911,3428.28418,247.4735494
740,00701650110000,2627,CAPITOL,AVE,Landmark, ,3911,3280.532227,242.4832342
741,00702450080000,2016,N,ST,Landmark, ,3911,4211.316406,373.5793718
742,00702460090000,2011,P,ST,Landmark,Kliensorge House,4217,6313.786133,401.2183894
743,00702530070000,2228,N,ST,Landmark, ,3911,8518.194336,394.7882697
744,00702550120000,2321,O,ST,Landmark, ,3911,6503.166016,405.1766929
745,00702550200000,2328,N ,ST,Landmark,,3911,2526.085938,243.6470301
746,00702560030000,2300,O,ST,Landmark,James Pharmacy,82-046,3381.464844,246.3268257
747,00702630110000,1414,26TH,ST,Landmark,Meyer/Jacques-Wilcox House,2014-0029,5950.200195,309.0469694
748,00702650020000,2600,N,ST,Landmark, ,3911,3394.231445,249.5530558
749,00703140060000,1910,Q,ST,Landmark,California Expert Cleaners,82-046,3188.275391,238.408496
750,00703250020000,1613,23RD,ST,Landmark, ,3911,2762.510742,227.8583833
751,00703330150000,2531,Q,ST,Landmark, ,3911,3470.152344,248.0258913
752,00703330190000,2515,Q,ST,Landmark, ,3911,6538.056641,406.9025536
753,00703330230000,1619,25TH,ST,Landmark, ,3911,2989.141602,229.4572658
754,00703430040000,1601,28TH,ST,Landmark,L.Lutenegger Grocery Store,82-046,3133.224609,237.5703738
755,00703530060000,1601,STOCKTON,BLVD,Landmark,"Libby, McNeil, and Libby Fruit & Vegetable Cannery",83-115,47234.26563,1084.364502
756,00703530070000,1601,STOCKTON,BLVD,Landmark,"Libby, McNeil, and Libby Fruit and Vegetable Cannery",83-115,145826.3066,1951.484781
757,00900520160000,1922,4TH,ST,Landmark, ,3911,3082.27832,235.1167011
758,00900630250000,723,S,ST,Landmark,PG&E Offices,82-046,15090.68164,496.9831871
759,00900750090000,1801,11TH,ST,Landmark, ,82-046,39459.82422,812.6900312
760,00900960210000,1701,T,ST,Landmark, ,,2509.458984,219.7804737
761,00901020120000,122,U,ST,Landmark,Pumping Station #1,83-115,24903.95898,784.3192663
762,00901150160000,519,U,ST,Landmark, ,3911,6404.133789,403.4960398
763,00901230150000,2128,9TH,ST,Landmark, ,3911,3241.183594,246.3414169
764,00901330110000,2006,11TH,ST,Landmark, ,3911,2215.09375,219.4512644
765,00901330120000,2010,11TH,ST,Landmark, ,3911,3316.606445,245.830256
766,00901350160000,1117,U,ST,Landmark, ,3911,6274.861328,393.7461468
767,00901350230000,1102,T,ST,Landmark, ,3911,12929.03613,486.9425547
768,00901510210000,2031,15TH,ST,Landmark, ,3911,3913.607422,262.5003347
769,00902620020000,1506,BROADWAY,,Landmark,Tower Theater,82-055,3897.698242,276.3078708
770,00902620040000,1512,BROADWAY,,Landmark,Tower Theater,82-055,4067.525391,279.9913334
771,00902940010000,1400,BROADWAY,,Landmark, ,,13155.29297,454.4686452
772,01000250180000,1819,20TH,ST,Landmark, ,3911,3977.452148,278.8000937
773,01000410020000,1821,24TH,ST,Landmark,Pacific Telephone and Telegraph,82-046,51149.69531,964.1709698
774,01000920030000,1808,U,ST,Landmark, ,3911,13102.47168,486.9794154
775,01001010050000,2120,T,ST,Landmark, ,3911,6574.144531,408.7788859
776,01001020030000,2100,22ND,ST,Landmark, ,3911,6689.415039,327.2614282
777,01001040180000,2123,22ND,ST,Landmark, ,3911,7514.907227,402.5797746
778,01001310080000,3030,T,ST,Landmark,Richfield Gas Station,2002-032,6007.525391,302.8821499
779,01003620060000,2801,FRANKLIN,BLVD,Landmark,Gunther's Ice Cream,2018-0049,8077.544922,369.7048532
780,04100660070000,7041,CARNATION,AVE,Landmark,Marco Zarick House,2007-059,16438.78027,515.8930527
781,00301320060000,2112,E,ST,Landmark, ,3911,6313.526367,398.0812945
782,00301340030000,505,22ND,ST,Landmark, ,3911,3040.007813,230.2747825
783,00301710210000,621,18TH,ST,Landmark, ,3911,3183.545898,239.4300605
784,00301730040000,1904,F,ST,Landmark, ,3911,3259.688477,243.3735631
785,00301750120000,608,21ST,ST,Landmark, ,3911,4484.321289,301.0871433
786,00301820010000,715,21ST,ST,Landmark, ,3911,5265.603516,307.0320454
787,00301820130000,2115,H,ST,Landmark, ,3911,5573.398438,312.7680169
788,00301830230000,617,22ND,ST,Landmark, ,3911,3997.209961,301.1976276
789,00301920050000,2410,G,ST,Landmark, ,3911,6457.102539,400.8438072
790,00301920170000,2417,H,ST,Landmark, ,3911,6418.480469,401.9022138
791,00301920190000,2409,H,ST,Landmark, ,3911,6483.010742,402.7384398
792,00301920200000,2405,H,ST,Landmark, ,3911,3262.269531,241.5577757
793,00301960200000,2611,H,ST,Landmark, ,3911,6709.521484,405.2437699
794,00302020050000,2727,H,ST,Landmark, ,3911,3290.035156,244.2889553
795,00600120220000,914,2ND,ST,Landmark,"Hall, Luhrs & Co. Building",2010-039,8941.663086,420.3082222
796,00600350100000,801,I,ST,Landmark,US Postal Service Metro Station,82-046,74716.03027,1105.114194
797,00600940030000,700,J,ST,Landmark,Capital National Bank,82-046,14351.13477,578.1459395
798,00601010210000,1025,9TH,ST,Landmark,I.O.O.F. Temple,82-046,13169.53906,485.9081273
